new_reactions1,new_reactions2
S3YoPrAr -> S0YrPrAr + O2 + 2 Hl,jd30
S0YoPrArBrr -> S0YoPrAr + PQH2,rqd
S1YoPrArBrr -> S1YoPrAr + PQH2,rqd
S2YoPrArBrr -> S2YoPrAr + PQH2,rqd
S3YoPrArBrr -> S3YoPrAr + PQH2,rqd
S0YoPrArBoo -> S0YoPrAr + PQ,oqd
S1YoPrArBoo -> S1YoPrAr + PQ,oqd
S2YoPrArBoo -> S2YoPrAr + PQ,oqd
S3YoPrArBoo -> S3YoPrAr + PQ,oqd
S0YoPrAr + PQ -> S0YoPrArBoo,oqr
S1YoPrAr + PQ -> S1YoPrArBoo,oqr
S2YoPrAr + PQ -> S2YoPrArBoo,oqr
S3YoPrAr + PQ -> S3YoPrArBoo,oqr
S0YrPrAo -> S0YoPrAr,n2*kp/(1+kp+kn)
S1YrPrAo -> S1YoPrAr,n2*kp/(1+kp+kn)
S2YrPrAo -> S2YoPrAr,n2*kp/(1+kp+kn)
S3YrPrAo -> S3YoPrAr,n2*kp/(1+kp+kn)
S0YrPrAo + PQ -> S0YrPrAoBoo,oqr
S1YrPrAo + PQ -> S1YrPrAoBoo,oqr
S2YrPrAo + PQ -> S2YrPrAoBoo,oqr
S3YrPrAo + PQ -> S3YrPrAoBoo,oqr
S0YoPrArBoo -> S0YoPrAoBro,b1d
S1YoPrArBoo -> S1YoPrAoBro,b1d
S2YoPrArBoo -> S2YoPrAoBro,b1d
S3YoPrArBoo -> S3YoPrAoBro,b1d
S0YoPrAoBro -> S0YoPrArBoo,b1r
S1YoPrAoBro -> S1YoPrArBoo,b1r
S2YoPrAoBro -> S2YoPrArBoo,b1r
S3YoPrAoBro -> S3YoPrArBoo,b1r
S0YrPrAoBoo -> S0YoPrArBoo,n2*kp/(1+kp+kn)
S1YrPrAoBoo -> S1YoPrArBoo,n2*kp/(1+kp+kn)
S2YrPrAoBoo -> S2YoPrArBoo,n2*kp/(1+kp+kn)
S3YrPrAoBoo -> S3YoPrArBoo,n2*kp/(1+kp+kn)
S0YoPrAoBro -> S1YrPrAoBro + Hl,jd01
S1YoPrAoBro -> S2YrPrAoBro,jd12
S2YoPrAoBro -> S3YrPrAoBro + Hl,jd23
S3YoPrAoBro -> S0YrPrAoBro + O2 + 2 Hl,jd30
S0YoPrAoBro -> S0YoPoArBro,n2*kp/(1+kp+kn+kr)
S1YoPrAoBro -> S1YoPoArBro,n2*kp/(1+kp+kn+kr)
S2YoPrAoBro -> S2YoPoArBro,n2*kp/(1+kp+kn+kr)
S3YoPrAoBro -> S3YoPoArBro,n2*kp/(1+kp+kn+kr)
S0YoPoArBro -> S1YoPrArBro + Hl,jd01
S1YoPoArBro -> S2YoPrArBro,jd12
S2YoPoArBro -> S3YoPrArBro + Hl,jd23
S3YoPoArBro -> S0YoPrArBro + O2 + 2 Hl,jd30
S0YoPoArBro -> S0YoPoAoBrr,b2d
S1YoPoArBro -> S1YoPoAoBrr,b2d
S2YoPoArBro -> S2YoPoAoBrr,b2d
S3YoPoArBro -> S3YoPoAoBrr,b2d
S0YoPoAoBrr -> S1YoPrAoBrr + Hl,jd01
S1YoPoAoBrr -> S2YoPrAoBrr,jd12
S2YoPoAoBrr -> S3YoPrAoBrr + Hl,jd23
S3YoPoAoBrr -> S0YoPrAoBrr + O2 + 2 Hl,jd30
S0YrPrArBrr -> S0YrPrAr + PQH2,rqd
S1YrPrArBrr -> S1YrPrAr + PQH2,rqd
S2YrPrArBrr -> S2YrPrAr + PQH2,rqd
S3YrPrArBrr -> S3YrPrAr + PQH2,rqd
S0YrPrArBoo -> S0YrPrAr + PQ,oqd
S1YrPrArBoo -> S1YrPrAr + PQ,oqd
S2YrPrArBoo -> S2YrPrAr + PQ,oqd
S3YrPrArBoo -> S3YrPrAr + PQ,oqd
S0YrPrAr + PQ -> S0YrPrArBoo,oqr
S1YrPrAr + PQ -> S1YrPrArBoo,oqr
S2YrPrAr + PQ -> S2YrPrArBoo,oqr
S3YrPrAr + PQ -> S3YrPrArBoo,oqr
S0YrPrAoBro -> S0YrPrArBoo,b1r
S1YrPrAoBro -> S1YrPrArBoo,b1r
S2YrPrAoBro -> S2YrPrArBoo,b1r
S3YrPrAoBro -> S3YrPrArBoo,b1r
S0YoPrArBoo -> S1YrPrArBoo + Hl,jd01
S1YoPrArBoo -> S2YrPrArBoo,jd12
S2YoPrArBoo -> S3YrPrArBoo + Hl,jd23
S3YoPrArBoo -> S0YrPrArBoo + O2 + 2 Hl,jd30
S0YoPrArBro -> S1YrPrArBro + Hl,jd01
S1YoPrArBro -> S2YrPrArBro,jd12
S2YoPrArBro -> S3YrPrArBro + Hl,jd23
S3YoPrArBro -> S0YrPrArBro + O2 + 2 Hl,jd30
S0YrPrAoBro -> S0YoPrArBro,n2*kp/(1+kp+kn)
S1YrPrAoBro -> S1YoPrArBro,n2*kp/(1+kp+kn)
S2YrPrAoBro -> S2YoPrArBro,n2*kp/(1+kp+kn)
S3YrPrAoBro -> S3YoPrArBro,n2*kp/(1+kp+kn)
S0YoPrArBro -> S0YoPrAoBrr,b2d
S1YoPrArBro -> S1YoPrAoBrr,b2d
S2YoPrArBro -> S2YoPrAoBrr,b2d
S3YoPrArBro -> S3YoPrAoBrr,b2d
S0YoPrAoBrr -> S1YrPrAoBrr + Hl,jd01
S1YoPrAoBrr -> S2YrPrAoBrr,jd12
S2YoPrAoBrr -> S3YrPrAoBrr + Hl,jd23
S3YoPrAoBrr -> S0YrPrAoBrr + O2 + 2 Hl,jd30
S0YoPrAoBrr -> S0YoPrAo + PQH2,rqd
S1YoPrAoBrr -> S1YoPrAo + PQH2,rqd
S2YoPrAoBrr -> S2YoPrAo + PQH2,rqd
S3YoPrAoBrr -> S3YoPrAo + PQH2,rqd
S0YoPrAoBrr -> S0YoPoArBrr,n2*kp/(1+kp+kn+kr)
S1YoPrAoBrr -> S1YoPoArBrr,n2*kp/(1+kp+kn+kr)
S2YoPrAoBrr -> S2YoPoArBrr,n2*kp/(1+kp+kn+kr)
S3YoPrAoBrr -> S3YoPoArBrr,n2*kp/(1+kp+kn+kr)
S0YrPrArBoo -> S0YrPrAoBro,b1d
S1YrPrArBoo -> S1YrPrAoBro,b1d
S2YrPrArBoo -> S2YrPrAoBro,b1d
S3YrPrArBoo -> S3YrPrAoBro,b1d
S0YoPoArBrr -> S1YoPrArBrr + Hl,jd01
S1YoPoArBrr -> S2YoPrArBrr,jd12
S2YoPoArBrr -> S3YoPrArBrr + Hl,jd23
S3YoPoArBrr -> S0YoPrArBrr + O2 + 2 Hl,jd30
S0YoPoAr + PQH2 -> S0YoPoArBrr,rqr
S1YoPoAr + PQH2 -> S1YoPoArBrr,rqr
S2YoPoAr + PQH2 -> S2YoPoArBrr,rqr
S3YoPoAr + PQH2 -> S3YoPoArBrr,rqr
S0YrPrArBro -> S0YrPrAoBrr,b2d
S1YrPrArBro -> S1YrPrAoBrr,b2d
S2YrPrArBro -> S2YrPrAoBrr,b2d
S3YrPrArBro -> S3YrPrAoBrr,b2d
S0YrPrAoBrr -> S0YoPrArBrr,n2*kp/(1+kp+kn)
S1YrPrAoBrr -> S1YoPrArBrr,n2*kp/(1+kp+kn)
S2YrPrAoBrr -> S2YoPrArBrr,n2*kp/(1+kp+kn)
S3YrPrAoBrr -> S3YoPrArBrr,n2*kp/(1+kp+kn)
S0YrPrAo + PQH2 -> S0YrPrAoBrr,rqr
S1YrPrAo + PQH2 -> S1YrPrAoBrr,rqr
S2YrPrAo + PQH2 -> S2YrPrAoBrr,rqr
S3YrPrAo + PQH2 -> S3YrPrAoBrr,rqr
S0YoPrArBrr -> S1YrPrArBrr + Hl,jd01
S1YoPrArBrr -> S2YrPrArBrr,jd12
S2YoPrArBrr -> S3YrPrArBrr + Hl,jd23
S3YoPrArBrr -> S0YrPrArBrr + O2 + 2 Hl,jd30
S0YoPrAr + PQH2 -> S0YoPrArBrr,rqr
S1YoPrAr + PQH2 -> S1YoPrArBrr,rqr
S2YoPrAr + PQH2 -> S2YoPrArBrr,rqr
S3YoPrAr + PQH2 -> S3YoPrArBrr,rqr
S0YrPrAr + PQH2 -> S0YrPrArBrr,rqr
S1YrPrAr + PQH2 -> S1YrPrArBrr,rqr
S2YrPrAr + PQH2 -> S2YrPrArBrr,rqr
S3YrPrAr + PQH2 -> S3YrPrArBrr,rqr
PCo + P700r -> PCr + P700o,kpc/kEpc
Cytfr + PCo -> PCr + Cytfo,kcytf
PCr + Cytfo -> Cytfr + PCo,kcytf/kEcytf
PCr + P700o -> P700r + PCo ,kpc
FXo + P700r -> FXr + P700o,n1
FXo + FDr -> FXr + FDo,kfx/kEfx
FXr + FDo -> FDr + FXo,kfx
FDr -> FDo ,kfd
PQH2 + 2 Cytfo -> 2 Cytfr + PQ,kb6f
2 Cytfr + PQ -> 2 Cytfo + PQH2,kb6f/kEb6f
